Nome repositório,Linguagem primária,Qt. menções da LP nas quest. do SO,Qt. menções da LP nas quest. do SO s/ repetição,Qt. menções do título das top issues nas quest. do SO,Qt. menções do título das bottom issues nas quest. do SO
freeCodeCamp,JavaScript,25,25,71,37
996.ICU,Rust,0,0,0,0
vue,JavaScript,25,0,24,32
react,JavaScript,25,0,17,5
free-programming-books,Vazio,0,0,37,50
tensorflow,C++,3,3,111,54
bootstrap,JavaScript,25,0,17,15
awesome,Vazio,0,0,18,43
You-Dont-Know-JS,Vazio,0,0,63,74
coding-interview-university,Vazio,0,0,32,20
ohmyzsh,Shell,2,2,135,116
developer-roadmap,Vazio,0,0,93,22
gitignore,Vazio,0,0,0,0
CS-Notes,Java,9,9,16,19
vscode,TypeScript,0,0,0,106
javascript,JavaScript,25,0,35,90
system-design-primer,Python,11,11,5,14
flutter,Dart,0,0,38,0
d3,JavaScript,25,0,23,16
linux,C,1,1,0,0
react-native,JavaScript,25,0,47,44
Python-100-Days,Jupyter Notebook,0,0,1,22
electron,C++,3,0,13,14
awesome-python,Python,11,0,96,7
public-apis,Python,11,0,16,11
create-react-app,JavaScript,25,0,19,29
JavaGuide,Java,9,0,22,27
the-art-of-command-line,Vazio,0,0,18,18
axios,JavaScript,25,0,108,49
go,Go,0,0,0,35
Python,Python,11,0,73,110
build-your-own-x,Vazio,0,0,202,74
javascript-algorithms,JavaScript,25,0,25,19
node,JavaScript,25,0,13,47
animate.css,CSS,3,3,10,19
free-programming-books-zh_CN,Vazio,0,0,0,0
youtube-dl,Python,11,0,38,27
kubernetes,Go,0,0,0,17
models,Python,11,0,48,3
Font-Awesome,JavaScript,25,0,4,8
terminal,C++,3,0,21,32
puppeteer,JavaScript,25,0,22,22
angular,TypeScript,0,0,23,22
three.js,JavaScript,25,0,12,8
TypeScript,TypeScript,0,0,33,41
computer-science,Vazio,0,0,12,2
ant-design,TypeScript,0,0,40,5
angular.js,JavaScript,25,0,46,31
laravel,PHP,1,1,0,0
java-design-patterns,Java,9,0,47,3
material-ui,JavaScript,25,0,47,3
moby,Go,0,0,41,41
30-seconds-of-code,JavaScript,25,0,18,78
awesome-go,Go,0,0,48,10
vue-element-admin,Vue,0,0,3,7
webpack,JavaScript,25,0,45,44
awesome-vue,Vazio,0,0,27,14
LeetCodeAnimation,Java,9,0,0,0
thefuck,Python,11,0,207,232
jquery,JavaScript,25,0,79,32
redux,TypeScript,0,0,29,22
deno,TypeScript,0,0,70,5
atom,JavaScript,25,0,66,59
swift,C++,3,0,0,0
reveal.js,JavaScript,25,0,6,15
flask,Python,11,0,59,30
socket.io,JavaScript,25,0,2,14
shadowsocks-windows,C#,2,2,1,7
django,Python,11,0,0,0
elasticsearch,Java,9,0,40,12
Chart.js,JavaScript,25,0,9,38
express,JavaScript,25,0,18,8
keras,Python,11,0,13,24
next.js,JavaScript,25,0,26,7
storybook,TypeScript,0,0,22,23
Semantic-UI,JavaScript,25,0,28,18
spring-boot,Java,9,0,22,25
json-server,JavaScript,25,0,32,34
Apollo-11,Assembly,0,0,30,2
FiraCode,Clojure,0,0,9,12
httpie,Python,11,0,63,71
netdata,C,1,0,21,30
markdown-here,JavaScript,25,0,13,23
rails,Ruby,0,0,18,33
architect-awesome,Vazio,0,0,0,3
element,Vue,0,0,17,4
html5-boilerplate,JavaScript,25,0,51,42
lodash,JavaScript,25,0,61,37
rust,Rust,0,0,0,26
awesome-machine-learning,Python,11,0,63,88
opencv,C++,3,0,66,101
Front-end-Developer-Interview-Questions,HTML,5,5,70,39
awesome-selfhosted,JavaScript,25,0,13,54
resume.github.com,JavaScript,25,0,40,16
interviews,Java,9,0,28,28
gatsby,JavaScript,25,0,45,56
moment,JavaScript,25,0,26,16
hugo,Go,0,0,25,29
nodebestpractices,JavaScript,25,0,20,22
advanced-java,Java,9,0,8,0
